时刻t/s,用户覆盖率,重分配次数/次,已分配用户数,QoE值
0,1.0,0,100,496.6533269295017
5,1.0,2,100,495.67682772367806
10,1.0,2,100,496.51880300749264
15,1.0,0,100,497.6585674572106
20,1.0,0,100,496.150554419753
25,1.0,0,100,497.6568975846259
30,1.0,0,100,496.6915481206759
35,1.0,0,100,498.14918535612566
40,1.0,3,100,497.8979737536281
45,1.0,0,100,495.8606298871303
50,0.99,0,99,491.1883203256835
55,0.99,1,99,492.2998602615277
60,0.99,1,99,490.0607170422468
65,0.99,0,99,491.02783714153395
70,0.99,1,99,491.54999825419117
75,0.99,0,99,491.0010400156453
80,0.98,0,98,485.21329011931425
85,0.98,0,98,485.39645603801904
90,0.98,0,98,487.1394994762205
95,0.98,1,98,485.7942081295145
100,0.98,0,98,485.5769115432828
105,0.98,0,98,486.4764906600673
110,0.98,1,98,486.98218519894453
115,0.98,0,98,486.42117189912847
120,0.98,0,98,486.94805453141765
125,0.97,0,97,483.05637070875497
130,0.97,0,97,481.90370455052084
135,0.97,0,97,481.831210612401
140,0.96,0,96,477.24443999019746
145,0.96,0,96,476.7874259422975
150,0.96,0,96,476.6320976903376
155,0.95,0,95,471.0045053295771
160,0.95,0,95,471.47802444553844
165,0.95,0,95,471.61571727442123
170,0.95,1,95,471.3764502350374
175,0.95,0,95,470.4609485433944
180,0.95,0,95,471.5181958668293
185,0.95,0,95,471.1268351675505
190,0.95,0,95,472.6247211974391
195,0.95,0,95,470.877335967493
200,0.95,0,95,470.5250144359647
205,0.95,0,95,470.9737086803752
210,0.95,0,95,471.8609862157162
215,0.95,0,95,471.3997994619035
220,0.95,0,95,470.03044455808606
225,0.95,4,95,472.9795625720222
230,0.95,0,95,471.20743670163245
235,0.95,0,95,469.75651876028115
240,0.95,0,95,472.95418452870257
245,0.95,0,95,471.78079043474526
250,0.95,0,95,470.9468764157322
255,0.95,0,95,472.251389447117
260,0.95,0,95,471.3602054581277
265,0.95,0,95,471.1725993562434
270,0.95,0,95,472.23737914123564
275,0.95,0,95,470.84939080333976
280,0.95,1,95,472.52315007589385
285,0.95,0,95,472.4358675077265
290,0.95,0,95,472.1538690184455
295,0.95,0,95,472.1479705783686
300,0.95,0,95,471.1896981391968
305,0.95,0,95,471.92477053756534
310,0.95,1,95,472.1944326291235
315,0.95,0,95,472.5826611633464
320,0.95,0,95,471.9748954262545
325,0.95,0,95,471.6395719149268
330,0.95,1,95,470.1462102993251
335,0.95,0,95,472.64249626742424
340,0.95,1,95,470.11179425977184
345,0.95,0,95,471.1393876946159
350,0.95,0,95,471.6507730934568
355,0.95,0,95,472.3716656813468
360,0.95,0,95,471.49133116251335
365,0.95,0,95,472.2782305275602
370,0.95,0,95,471.5176353362623
375,0.95,0,95,471.860315544564
380,0.95,0,95,472.5779678135451
385,0.95,0,95,469.74151780219665
390,0.95,0,95,471.20449080481814
395,0.95,0,95,471.883208915886
400,0.95,0,95,472.16275920841605
405,0.95,0,95,470.864220298986
410,0.95,0,95,471.4394827112808
415,0.94,0,94,466.28466595859464
420,0.94,0,94,466.7633051904668
425,0.94,0,94,465.5972365669998
430,0.94,0,94,466.00192835177864
435,0.94,0,94,466.5648928606317
440,0.94,1,94,466.96909098092084
445,0.94,0,94,466.8570264286297
450,0.94,0,94,467.3767312733882
455,0.94,0,94,467.43595268666945
460,0.93,0,93,461.72228949446566
465,0.93,0,93,463.4373163564785
470,0.93,0,93,462.45786389504246
475,0.93,0,93,461.4880374178881
480,0.93,0,93,462.1769702341239
485,0.93,0,93,463.4118669011233
490,0.93,0,93,462.180416441876
495,0.92,0,92,457.8397798361143
